Timestamp,Host,Reachable,Avg_RTT_ms
2025-06-28 18:10:02,1.1.1.1,Yes,4.278
2025-06-28 18:10:03,192.168.1.1,Yes,N/A
2025-06-28 18:20:01,8.8.8.8,Yes,17.847
2025-06-28 18:20:02,1.1.1.1,Yes,16.355
2025-06-28 18:20:03,192.168.1.1,Yes,N/A
2025-06-28 19:50:01,8.8.8.8,Yes,16.264
2025-06-28 19:50:02,1.1.1.1,Yes,3.751
2025-06-28 19:50:03,192.168.1.1,Yes,N/A
2025-06-28 20:00:01,8.8.8.8,Yes,64.547
2025-06-28 20:00:02,1.1.1.1,Yes,2.492
2025-06-28 20:00:14,192.168.1.1,Yes,N/A
2025-06-28 20:10:01,8.8.8.8,Yes,17.069
2025-06-28 20:10:02,1.1.1.1,Yes,48.233
2025-06-28 20:10:03,192.168.1.1,Yes,N/A
2025-06-28 20:20:01,8.8.8.8,Yes,15.662
2025-06-28 20:20:02,1.1.1.1,Yes,1.827
2025-06-28 20:20:03,192.168.1.1,Yes,N/A
2025-06-28 20:30:01,8.8.8.8,Yes,16.189
2025-06-28 20:30:02,1.1.1.1,Yes,40.908
2025-06-28 20:30:03,192.168.1.1,Yes,N/A
2025-06-28 20:40:01,8.8.8.8,Yes,16.974
2025-06-28 20:40:02,1.1.1.1,Yes,1.909
2025-06-28 20:40:03,192.168.1.1,Yes,N/A
2025-06-28 20:50:02,8.8.8.8,Yes,17.945
2025-06-28 20:50:03,1.1.1.1,Yes,30.101
2025-06-28 20:50:04,192.168.1.1,Yes,N/A
2025-06-28 21:00:01,8.8.8.8,Yes,16.181
2025-06-28 21:00:12,1.1.1.1,Yes,29.832
2025-06-28 21:00:13,192.168.1.1,Yes,N/A
2025-06-28 21:10:01,8.8.8.8,Yes,17.284
2025-06-28 21:10:02,1.1.1.1,Yes,1.859
2025-06-28 21:10:03,192.168.1.1,Yes,N/A
2025-06-28 21:20:01,8.8.8.8,Yes,22.706
2025-06-28 21:20:02,1.1.1.1,Yes,14.992
2025-06-28 21:20:03,192.168.1.1,Yes,N/A
2025-06-28 21:30:01,8.8.8.8,Yes,15.962
2025-06-28 21:30:02,1.1.1.1,Yes,2.361
2025-06-28 21:30:03,192.168.1.1,Yes,N/A
2025-06-28 21:40:01,8.8.8.8,Yes,17.696
2025-06-28 21:40:02,1.1.1.1,Yes,40.239
2025-06-28 21:40:03,192.168.1.1,Yes,N/A
2025-06-28 21:50:01,8.8.8.8,Yes,18.111
2025-06-28 21:50:02,1.1.1.1,Yes,20.795
2025-06-28 21:50:03,192.168.1.1,Yes,N/A
2025-06-28 22:00:01,8.8.8.8,Yes,15.876
2025-06-28 22:00:02,1.1.1.1,Yes,3.578
2025-06-28 22:00:03,192.168.1.1,Yes,N/A
2025-06-28 22:10:01,8.8.8.8,Yes,57.537
2025-06-28 22:10:02,1.1.1.1,Yes,7.101
2025-06-28 22:10:03,192.168.1.1,Yes,N/A
2025-06-28 22:20:01,8.8.8.8,Yes,18.395
2025-06-28 22:20:02,1.1.1.1,Yes,58.238
2025-06-28 22:20:03,192.168.1.1,Yes,N/A
2025-06-28 22:30:02,8.8.8.8,Yes,16.024
2025-06-28 22:30:04,1.1.1.1,Yes,2.336
2025-06-28 22:30:05,192.168.1.1,Yes,N/A
2025-06-28 22:40:01,8.8.8.8,Yes,20.307
2025-06-28 22:40:02,1.1.1.1,Yes,2.786
2025-06-28 22:40:03,192.168.1.1,Yes,N/A
2025-06-28 22:50:01,8.8.8.8,Yes,139.893
2025-06-28 22:50:02,1.1.1.1,Yes,12.557
2025-06-28 22:50:03,192.168.1.1,Yes,N/A
2025-06-28 23:00:01,8.8.8.8,Yes,17.937
2025-06-28 23:00:02,1.1.1.1,Yes,3.977
2025-06-28 23:00:03,192.168.1.1,Yes,N/A
2025-06-28 23:10:01,8.8.8.8,Yes,16.333
2025-06-28 23:10:02,1.1.1.1,Yes,3.749
